
  Obs   REC  I   J  A  B  C  D  E  F  G  H  K
-----  ----  -  --  -  -  -  -  -  -  -  -  -
    1  R101  1  10  1  .  .  .  .  .  .  .  2
    2  R102  2  10  .  1  .  .  .  .  .  2  .
    3  R103  3  10  .  .  1  .  .  .  2  .  .
    4  R104  4  10  .  .  .  1  .  2  .  .  .
    5  R105  5  10  .  .  .  .  2  .  .  .  .
    6  R106  6  10  .  .  .  2  .  1  .  .  .
    7  R107  7  10  .  .  2  .  .  .  1  .  .
    8  R108  8  10  .  2  .  .  .  .  .  1  .
    9  R109  9  10  2  .  .  .  .  .  .  .  1


